#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-04-01 18:43:48
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2017-04-01 18:43:48 W3SVC604 GET /blog-single.html - - 163.172.64.228 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - - sandeepg.co.in 200 0 0 15131 181 699
2017-04-01 18:52:44 W3SVC604 GET /index.html - - 180.76.15.144 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - www.sandeepg.co.in 200 0 0 44354 230 359
2017-04-01 18:52:44 W3SVC604 GET / - - 180.76.15.147 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - www.sandeepg.co.in 200 0 0 44354 220 690
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-04-01 20:27:39
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2017-04-01 20:27:38 W3SVC604 GET / - - 180.76.15.144 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - - www.sandeepg.co.in 200 0 0 44354 220 912
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-04-01 23:07:29
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2017-04-01 23:07:29 W3SVC604 GET /robots.txt - - 46.229.164.101 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - - sandeepg.co.in 404 0 2 5402 204 684
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-04-02 06:58:19
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2017-04-02 06:58:19 W3SVC604 GET /robots.txt - - 93.158.152.80 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - - sandeepg.co.in 404 0 2 5383 184 556
2017-04-02 06:58:19 W3SVC604 GET /robots.txt - - 141.8.132.75 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - - www.sandeepg.co.in 404 0 2 5387 188 218
2017-04-02 06:58:23 W3SVC604 GET / - - 141.8.132.75 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - - sandeepg.co.in 200 0 0 44335 279 526
2017-04-02 06:58:23 W3SVC604 GET / - - 141.8.142.191 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - - www.sandeepg.co.in 200 0 0 44335 283 741
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-04-02 08:34:44
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2017-04-02 08:34:44 W3SVC604 GET /robots.txt - - 66.249.79.20 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - - www.sandeepg.co.in 404 0 2 5387 228 610
2017-04-02 08:35:17 W3SVC604 GET / - - 66.249.79.20 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - - www.sandeepg.co.in 200 0 0 44335 295 861
2017-04-02 08:35:21 W3SVC604 GET /assets/css/theme-color/default.css - - 66.249.79.24 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - http://www.sandeepg.co.in/ www.sandeepg.co.in 200 0 0 5143 349 597
2017-04-02 08:35:29 W3SVC604 GET /assets/css/slick.css - - 66.249.79.20 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - http://www.sandeepg.co.in/ www.sandeepg.co.in 200 0 0 5120 335 230
2017-04-02 08:35:30 W3SVC604 GET /preloader.css - - 66.249.79.20 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - http://www.sandeepg.co.in/ www.sandeepg.co.in 200 0 0 37113 328 389
